Tweet	label
"@handle I get that all the time. I block the misguided souls so they no longer appear in my timeline. (Their updates, not their souls.)"	564
@handle Not a cool joke! I got pretty pissed for a split second! :)	3039
WOW! This morning has been a roller coaster! But I'm in such a great mood :D	3039
Feeling good. Just helped a little boy catch his runaway dog. :)	3039
@handle What a great movie!!! Badder Santa too! Billy Bob Thorton is just too good! :D	3039
Hey @handle!! I'm sending @handle your way tomorrow! I know how much she'll benefit from all your expertise :D Have a great event!!	3039
Nice!!! :D RT @handle: @handle Coolest paper towels ever? ;-) #Cowboys http://twitpic.com/q5yz0	3039
Way to make me feel like crap about it!! :( #WiiFit http://pk.gd/JZ8	3039
I love when people show that they're not afraid of my dog. He's small with a really big bark and some people run for their lives. Just chill	3039
":D! @handle RT @handle: @handle wow, uli is the luckiest man on earth. :)"	3039
"@handle You know, punching bags do punch back :) Hope your day gets better."	3039
@handle Some things just aren't meant to mix... and other are :D Like football and sex :D	3039
@handle It's got everything you need: football and sex :D	3039
"@handle Thanks! :D If you need an extra body at your practices, let me know :) Just throwing it out there ;)"	3039
"@handle Hahaha! Thanks! Def look into it. It's tough, not your typical girlie league."	3039
"@handle Couldn't make it, but I tried out last year and want to try out again. :)"	3039
@handle Not at all :) I'm all for it!	3039
@handle That's interesting! It's all about relevance.	3039
@handle That would not be fun at all! Do you not like it?	3039
@handle Hell yea! I'm all pumped up now and want to go play!	3039
"@handle ""What"" what?"	3039
@handle Ohhhh. How'd it go? What did you discuss?	3039
A quick convo about the Lingerie Football League and I want to go hit a tackling dummy! Grrrrr!	3039
@handle Dude! You have to be wearing three shirts with all three collars popped! @handle @handle	3039
@handle Cool! Looking forward to meeting you in person! :D #SoFlaBlogUp	3039
RT @handle does anyone have a good pic from last night's @handle I can use 4 my column? full cred given (no pay)	3039
Looking forward to @handle's SoFla BlogUp Saturday! Who else is going?	3039
@handle Don't hate! @handle #Escorts #TweetYourPleasure	3039
@handle Aww :D She's sweet. Love how you guys are stepping it up and getting out there! Great job :D	3039
"@handle We could totally start up the first Twitter Escort business! ""Tweet Your Pleasure"" :D"	3039
"@handle How fun!!! If you happen to host another, I'll be there! :D"	3039
@handle @handle How was the Meet Market last night?	3039
@handle He seems kind of cool 2 me... :P The scruffy look is a good 1 4 him. I just really hope it doesnt get out of hand @handle	3039
@handle I'm glad you didn't try to find out for yourself :)	3039
"@handle Which lyric? My fave of his is ""I'm not a businessman. I'm a business, man."" :D"	3039
Someone just told me it's Wednesday. I almost slapped them! Don't mess w/ my days of the week! My dad and bro come in tomorrow!	3039
@handle What's up new friend!!	3039
@handle Hey! Is the Viking on Twitter? :)	3039
Ford vehicles called 'world-class' http://bit.ly/4ywe1g	9661
Ford vehicles called 'world-class' http://bit.ly/4ywe1g	9661
Ford Picks Chinas Geely for Detailed Talks on Volvo http://bit.ly/2xiOwm	9661
Ford moves up in Consumer Reports reliability rankings http://bit.ly/2slZVf	9661
2010 Ford Taurus and Taurus SHO for SEMA - Auto Shows http://short.to/ve59	9661
Consumer Reports Gives Nod to Ford Reliability http://bit.ly/F0oqc	9661
Connect with us and be part of the Ford Story http://bit.ly/QJWLY	9661
Ford to unveil custom Mustangs at SEMA http://bit.ly/lHl1P	9661
Drive One Shifts Gears to Add Customer Reactions http://bit.ly/2NFQvG	9661
What's the Diff? Ford F-150 SVT Raptor vs. Dodge Ram Power Wagon http://short.to/veqt	9661
A V6 Engine Like no Other http://bit.ly/QJWLY	9661
RT @handle We are working 4 Ford dealers on the West Coast 2 let public know about the Mustang GT customized by West Coast Customs.	9661
"RT @handle Did u know:texting on a cell phone while driving increases risk of accident 23 times?Leave sooner,text later, live longer!"	9661
"Due to increasing job duties, I can't tweet 6-7 times a day like before. I will, however, be able to tweet AT LEAST ONCE a day, if not more."	9661
Ford Hauls Home a Host of Awards From Texas http://bit.ly/2F7vYt	9661
Sorry for the absence; I had to move my office and things have been crazy around here... but I'm back now and will try to catch up...	9661
@handle Awesome!!	9661
@handle Too funny.	9661
@handle Watching what? LOL	9661
@handle You are welcome!	9661
"Frozen, baked, rattled, stoned  Ford Taurus endures extreme torture http://bit.ly/seEU2"	9661
"Alan Mulally to tout SYNC, new surprises in keynote at 2010 International CES http://bit.ly/2Ji3g5"	9661
The curious case of the quietest debuting diesel engine http://bit.ly/R9VFi	9661
New Taurus balances the 'bling' to project just the right image http://bit.ly/1a1q6Y	9661
Survey says: Texting while driving 'very dangerous' http://bit.ly/3tr9Ce	9661
"2011 Super Duty: significantly improved torque, horsepower, class-leading fuel economy, towing & payload capability http://short.to/sain"	9661
"We have some great ""Save The Ta-Tas"" merchandise for sale, like a t-shirt that says, ""Cancer Can Take The Ta-Ta, But It Can't Take The Sexy"""	9661
We are still raising breast cancer awareness at the Rockdale County fair! Will be there thru the 4th; hope to see you there!	9661
@handle thanks for the RT!	9661
@handle LOL	9661
RT @handle~ @handle You'll love this - Deal or No Deal models showing off the 2010 Milan hybrid: http://bit.ly/WCmkW	9661
I haven't had time to twitter since I've been busy at the fair. We are selling $2 raffle tickets for a pedal car & have ta-tas merchandise!!	9661
Come see us at the Rockdale County Fair! We are promoting breast cancer awareness & have free stuff for you!	9661
@handle @handle Thanks for the mention!	9661
GET COUPONS FOR SERVICE! http://bit.ly/oMvn/Page/ServiceCouponsPage&fmccmp=fcom-maintain	9661
